ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0398974,Dr. Shaitan,1960,-,-,-,-,hindi
tt1702558,Nadir Khan,1968,-,-,-,-,urdu
tt0493437,Apna Sapna Money Money,2006,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi
tt0273405,Aag Aur Sholay,1987,-,2.2,20,-,urdu
tt0049595,Parivar,1956,-,7.4,21,"Comedy, Drama, Family            ",hindi
tt2930026,Humraah: The Traitor,2008,-,-,-,Thriller            ,hindi
tt6597160,Jacqueline I Am Coming,2019,112 min,7.9,16,Drama            ,hindi
tt0829459,A Mighty Heart,2007,108 min,6.6,"26,885","Biography, Drama, History            ",urdu
tt0154875,Midnight Mail,1939,-,-,-,Action            ,hindi
tt0364628,Raktalekha,1992,175 min,6.3,12,Drama            ,bengali
tt0364733,Veedevadandi Babu,1997,138 min,5.6,218,Comedy            ,telugu
tt8272296,A Mayalu Timi Lai,2018 Video,-,-,-,"Short, Music            ",nepali
tt5684550,Da Tang Xuan Zang,2016,90 min,6.2,379,"Biography, History            ",sanskrit
tt0250733,Sikandar,1976,-,-,-,-,hindi
tt1407272,Pehla Qadam,1958,-,-,-,-,urdu
tt0318983,Amman Koil Kizhakkaalae,1986,141 min,6.9,63,Drama            ,tamil
tt3148392,Shatru,2013,-,4.5,11,"Action, Thriller            ",kannada
tt7836398,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017 Video,5 min,-,-,"Short, Music            ",nepali
tt0376353,Zinda Jala Doonga,1988,-,-,-,Action            ,hindi
tt2302945,Tukaram,2012,156 min,7.3,231,"Biography, Drama, History            ",marathi
tt6517874,Ramante Edenthottam,2017,122 min,6.0,459,"Comedy, Drama, Romance            ",malayalam
tt0150519,Faslah,1974,-,-,-,"Crime, Drama, Romance            ",hindi
tt4820566,Jawani Ki Ghabrahat,1991,-,-,-,Thriller            ,hindi
tt0318296,Anbu Chinnam,1990,-,-,-,-,tamil
tt12717866,Naveed,2020,57 min,-,-,Documentary            ,urdu
tt12701012,Ramudu Bheemudu,1988,141 min,-,-,Drama            ,telugu
tt3466016,Vaade Kavali,2009,-,-,-,Romance            ,telugu
tt4654666,Aakhri Muqabla,1978,-,-,-,Action            ,hindi
tt1319563,Dracula,1999,92 min,4.1,16,Horror            ,hindi
tt0398130,Jahanara,1935,-,-,-,-,hindi
tt0065764,Geet,1970,-,7.1,98,"Action, Crime, Musical            ",hindi
tt2707908,Sej Piya Ki,1985,-,-,-,Drama            ,hindi
tt3509698,Sati Sita Luv Kush,1981,-,-,-,Drama            ,hindi
tt1575647,Nuvvu Vasthavani,2000,158 min,6.6,160,"Family, Romance            ",telugu
-,Jam,,-,-,-,Drama            ,bengali
tt0357879,Madadgaar,1987,-,5.4,11,"Action, Crime, Drama            ",hindi
tt1827428,Hamra Se Biyah Karba,2003,-,-,-,Drama            ,bhojpuri
tt0351354,Milan Ki Raat,1967,-,4.4,7,"Drama, Romance            ",hindi
tt0213519,Bhool Bhulaiyan,1933,-,6.0,6,Comedy            ,hindi
tt0246905,Saajan Chale Sasural,1996,134 min,6.0,"1,312","Comedy, Drama            ",hindi
tt1582519,Khaleja,2010,170 min,7.6,"8,284","Action, Comedy, Fantasy            ",telugu
tt6682124,Rogue,II 2017,134 min,5.1,118,"Action, Thriller            ",kannada
-,Shaan,,166 min,-,-,Action            ,hindi
tt6882630,Bhale Bullodu,1995,-,-,-,Drama            ,telugu
tt0397478,Jaal,1973,-,-,-,Musical            ,urdu
tt0464849,Yuvakudu,2000,145 min,6.9,110,Romance            ,telugu
tt13276010,Goolihatti,2015,156 min,-,-,Drama            ,kannada
tt0139306,Hamara Ghar,1950,-,-,-,-,hindi
tt10515954,Olessia,2019,120 min,8.1,40,"Drama, Musical            ",malayalam
tt5159256,Prohibited,2015,12 min,8.2,25,"Short, Drama, Thriller            ",urdu
tt1039989,Sunday,I 2008,135 min,5.3,"2,592","Action, Comedy, Mystery            ",hindi
-,The Destiny,,-,-,-,Biography            ,hindi
